iter	RMSE
0	57.00949827
1	56.28482136
2	55.56154581
3	54.90433571
4	54.35137906
5	53.84114954
6	53.39530684
7	52.97818265
8	52.61388629
9	52.26781173
10	51.95487911
11	51.67858439
12	51.43484516
13	51.21813321
14	50.98291048
15	50.78337316
16	50.58572427
17	50.42192843
18	50.23898672
19	50.06842233
20	49.92882025
21	49.80695768
22	49.64823743
23	49.52442353
24	49.4113155
25	49.2935485
26	49.19531954
27	49.09468724
28	48.9734939
29	48.87930471
30	48.79920376
31	48.69002742
32	48.59317239
33	48.48096876
34	48.39398424
35	48.32521388
36	48.24317648
37	48.17764703
38	48.09410301
39	48.03388935
40	47.96585436
41	47.91412627
42	47.85847286
43	47.77294231
44	47.70890887
45	47.65299876
46	47.59534128
47	47.54004468
48	47.49757929
49	47.44856102
