iter	Passed	Remaining
0	173	8495
1	207	4973
2	234	3671
3	261	3002
4	283	2548
5	308	2260
6	324	1993
7	340	1788
8	357	1627
9	375	1501
10	393	1393
11	409	1296
12	426	1213
13	441	1135
14	456	1065
15	472	1003
16	488	947
17	501	891
18	512	835
19	521	782
20	533	736
21	546	695
22	561	658
23	573	621
24	584	584
25	595	549
26	608	518
27	620	487
28	633	458
29	644	429
30	656	402
31	668	376
32	680	350
33	693	326
34	706	302
35	719	279
36	732	257
37	745	235
38	762	214
39	773	193
40	784	172
41	795	151
42	808	131
43	819	111
44	832	92
45	844	73
46	855	54
47	866	36
48	876	17
49	889	0
